2
50
154,16,0
155,23,0
163,42,0
178,89,0
178,105,0
179,111,0
179,114,0
178,118,0
178,119,0
177,124,0
176,124,0
176,130,0
174,133,0
174,135,0
173,140,0
172,144,0
167,154,0
165,161,0
162,165,0
162,170,0
162,170,0
162,170,0
162,170,0
162,170,0
162,170,0
162,170,0
162,170,0
162,170,0
162,170,0
162,170,0
167,192,0
167,192,0
198,358,0
188,374,0
188,382,0
188,386,0
187,390,0
187,390,0
187,396,0
185,411,0
183,421,0
182,430,0
170,458,0
170,458,0
170,458,0
197,256,0
195,247,0
193,253,0
191,246,0
191,246,0
50
474,81,1
474,120,1
471,193,1
461,236,1
428,262,1
361,282,1
300,295,1
264,289,1
251,321,1
244,353,1
219,376,1
225,395,1
230,448,1
252,465,1
311,470,1
285,482,1
279,405,1
277,433,1
420,421,1
422,468,1
447,474,1
451,462,1
417,451,1
443,493,1
461,495,1
507,473,1
497,446,1
410,413,1
456,437,1
429,429,1
433,361,1
450,414,1
439,397,1
456,335,1
369,149,1
297,45,1
283,87,1
277,135,1
271,150,1
275,176,1
299,206,1
231,181,1
221,174,1
223,27,1
97,31,1
118,85,1
134,81,1
136,41,1
116,20,1
61,23,1
